t_over_beta,eps_0.05_s_10,eps_0.02_s_10,eps_0.01_s_10,eps_0.005_s_10,eps_0.02_s_20,eps_0.01_s_20,eps_0.005_s_20,eps_0.005_s_40
6.875000000000000000e-01,2.303693423294832066e+00,2.278045837719985034e+00,2.269406427463477982e+00,2.265079121975571930e+00,2.617466504633490842e+00,2.598086488352566281e+00,2.588343939691889251e+00,2.780415636271835744e+00
7.000000000000000666e-01,2.367048179234558347e+00,2.340551193895839877e+00,2.331625640107058750e+00,2.327154899616766137e+00,2.687426731960901982e+00,2.667424502749410120e+00,2.657369013129514901e+00,2.853542069377154711e+00
7.125000000000000222e-01,2.430627492369756837e+00,2.403271913780203217e+00,2.394057127116952621e+00,2.389441401617584226e+00,2.757579375715968339e+00,2.736949010010700345e+00,2.726577605271595761e+00,2.926839017752416616e+00
7.250000000000000888e-01,2.494418359458448364e+00,2.466195232068986609e+00,2.456688204372627915e+00,2.451925984834663730e+00,2.827912057668569901e+00,2.806647809780649094e+00,2.795957606283164143e+00,3.000294747618801772e+00
7.375000000000000444e-01,2.558408505469966343e+00,2.529309108454217192e+00,2.519506911688067063e+00,2.514596729533005615e+00,2.898413179589010014e+00,2.876509478460233193e+00,2.865497681461481871e+00,3.073898316030068578e+00
7.500000000000000000e-01,2.622586346720339634e+00,2.592602190630497017e+00,2.582501975771605451e+00,2.577442402320720305e+00,2.969071877096048695e+00,2.946523322989865523e+00,2.935187224982117815e+00,3.147639520295025584e+00
7.625000000000000666e-01,2.686940955351009741e+00,2.656063778657654861e+00,2.645662774546419627e+00,2.640452420447632065e+00,3.039877975789258002e+00,3.016679336925906174e+00,3.005016315943404681e+00,3.221508850232171817e+00
7.750000000000000222e-01,2.751462025172723536e+00,2.719683790701070247e+00,2.708979302852370097e+00,2.703616817487381141e+00,3.110821949621402460e+00,3.086968158764439085e+00,3.074975676663803004e+00,3.295497443163580620e+00
7.875000000000000888e-01,2.816139838884216928e+00,2.783452730158381794e+00,2.772442139538862094e+00,2.766926210411115861e+00,3.181894881447751011e+00,3.157381032453920877e+00,3.145056633171738891e+00,3.369597041518468394e+00
8.000000000000000444e-01,2.880965236664676965e+00,2.847361654171308043e+00,2.836042415945893680e+00,2.830371768053154824e+00,3.253088425689268703e+00,3.227909770025841230e+00,3.215251077816931424e+00,3.443799952975576950e+00
8.125000000000000000e-01,2.945929586129937050e+00,2.911402143511669482e+00,2.899771785763688214e+00,2.893945180956336571e+00,3.324394773036273065e+00,3.298546716277786839e+00,3.285551433938360244e+00,3.518099012981253715e+00
