link_midpoint,probability_left,real_coherence,imaginary_coherence
1.834999999999999964e+00,7.241332120134327967e-11,9.065551477436198529e-11,5.093541882797920083e-12
1.844999999999999973e+00,1.138515178028244505e-10,1.421062711703419113e-10,8.004446336953958805e-12
1.854999999999999982e+00,1.779358225349661754e-10,2.214333277645203299e-10,1.250406537099852571e-11
1.864999999999999991e+00,2.764427623111448231e-10,3.430018384462245389e-10,1.941747481630431028e-11
1.875000000000000000e+00,4.269502247734322094e-10,5.281855077618351389e-10,2.997565466029004288e-11
1.885000000000000009e+00,6.555295072873248726e-10,8.085852328372097996e-10,4.600359228821171862e-11
1.895000000000000018e+00,1.000605467754064435e-09,1.230628611709253272e-09,7.018988510502300935e-11
1.905000000000000027e+00,1.518454024980346090e-09,1.862098040601915309e-09,1.064705481575121860e-10
1.915000000000000036e+00,2.290978214163238043e-09,2.801332988074968905e-09,1.605716849293577461e-10
1.925000000000000044e+00,3.436632320379237854e-09,4.190113467576722354e-09,2.407715346409119006e-10
1.935000000000000053e+00,5.125663778055057407e-09,6.231574063611488453e-09,3.589633425887182429e-10
1.945000000000000062e+00,7.601234040829304014e-09,9.214942237016127172e-09,5.321276010572513480e-10
1.955000000000000071e+00,1.120848532721345569e-08,1.354946601781844886e-08,7.843574707574519426e-10
1.965000000000000080e+00,1.643426748864244394e-08,1.981062412847483444e-08,1.149625953857673048e-09
1.975000000000000089e+00,2.396105992954243416e-08,2.880262976678811046e-08,1.675540560376499113e-09
1.985000000000000098e+00,3.473965342517427323e-08,4.164238605243971105e-08,2.428402497386693234e-09
1.995000000000000107e+00,5.008643677397337371e-08,5.987146847204353135e-08,3.499976265954577959e-09
2.004999999999999893e+00,7.181270624406224848e-08,8.560444223372489021e-08,5.016484543032978474e-09
2.015000000000000124e+00,1.023953285136866084e-07,1.217239164357241490e-07,7.150475872295860790e-09
2.024999999999999911e+00,1.452003851490563021e-07,1.721352373883185078e-07,1.013637178502152263e-08
2.035000000000000142e+00,2.047741536854332523e-07,2.420966709435203972e-07,1.429068855239931962e-08
2.044999999999999929e+00,2.872189717437994038e-07,3.386443497814339184e-07,2.003815027436125279e-08
2.055000000000000160e+00,4.006752144769924842e-07,4.711351853351388286e-07,2.794516422975907240e-08
2.064999999999999947e+00,5.559347995991263819e-07,6.519353621063326090e-07,3.876241899906360954e-08
2.075000000000000178e+00,7.672163027011993802e-07,8.972869134028456224e-07,5.347868856223376083e-08
2.084999999999999964e+00,1.053136869289155386e-06,1.228390154968908315e-06,7.338827884683184084e-08
2.095000000000000195e+00,1.437921562198062246e-06,1.672745312771210510e-06,1.001749276939536014e-07
2.104999999999999982e+00,1.952896438414871199e-06,2.265802349452381581e-06,1.360153617918152697e-07
2.115000000000000213e+00,2.638317303507074567e-06,3.052973536445977633e-06,1.837061029570591027e-07
2.125000000000000000e+00,3.545591477593872889e-06,4.092068422856759613e-06,2.468174856705634446e-07
2.135000000000000231e+00,4.739954660534972245e-06,5.456215118941893387e-06,3.298791766016754167e-07
2.145000000000000018e+00,6.303668670947416044e-06,7.237334763748717981e-06,4.386017385493218583e-07
2.155000000000000249e+00,8.339807929613616538e-06,9.550237113879671570e-06,5.801389224127268746e-07
2.165000000000000036e+00,1.097670244605551206e-05,1.253740372112001003e-05,7.633953610490940034e-07
2.175000000000000266e+00,1.437310206038423356e-05,1.637452044399854875e-05,9.993841272007400668e-07
2.185000000000000053e+00,1.872412004548395205e-05,2.127681229421397584e-05,1.301638153048057233e-06
2.194999999999999840e+00,2.426800309872403149e-05,2.750622006402122591e-05,1.686678741796211763e-06
2.205000000000000071e+00,3.129375846454877594e-05,3.537943905102753018e-05,2.174543267496574370e-06
2.214999999999999858e+00,4.014964669107867599e-05,4.527681478788516328e-05,2.789372623410710852e-06
2.225000000000000089e+00,5.125251967474796666e-05,5.765205843468874496e-05,3.560056978638801352e-06
2.234999999999999876e+00,6.509794774229950612e-05,7.304270501815545141e-05,4.520935914593784320e-06
2.245000000000000107e+00,8.227103624087230829e-05,9.208119089779838418e-05,5.712546034048085064e-06
2.254999999999999893e+00,1.034577815991984172e-04,1.155063729506705379e-04,7.182405615248537022e-06
2.265000000000000124e+00,1.294567594202611751e-04,1.441752516231893471e-04,8.985821964633834816e-06
2.274999999999999911e+00,1.611908738519229986e-04,1.790745943842969763e-04,1.118670268570876104e-05
2.285000000000000142e+00,1.997188296184354062e-04,2.213320868522050623e-04,1.385834746535833185e-05
2.294999999999999929e+00,2.462459176171889644e-04,2.722265682625434990e-04,1.708419205077653483e-05
2.305000000000000160e+00,3.021336345631894858e-04,3.331968388075574970e-04,2.095847129564560164e-05
2.314999999999999947e+00,3.689075897542573894e-04,4.058484621256813036e-04,2.558676343899969974e-05
2.325000000000000178e+00,4.482630915325467474e-04,4.919579307271556168e-04,3.108637369166483846e-05
2.334999999999999964e+00,5.420677562453300562e-04,5.934735197511392234e-04,3.758651170826878446e-05
2.345000000000000195e+00,6.523604483646099203e-04,7.125121296536106536e-04,4.522821522035033856e-05
2.354999999999999982e+00,7.813458458944700508e-04,8.513514158256063440e-04,5.416397113412710389e-05
2.365000000000000213e+00,9.313839355787295431e-04,1.012416527220970797e-03,6.455698607665749861e-05
2.375000000000000000e+00,1.104973781195819167e-03,1.198260830690844490e-03,7.658006112885797252e-05
2.385000000000000231e+00,1.304730979743419245e-03,1.411540086195368091e-03,9.041403039504229634e-05
2.395000000000000018e+00,1.533358326650703738e-03,1.654979662530824038e-03,1.062457304624882227e-04
2.405000000000000249e+00,1.793609354598464135e-03,1.931334544581594058e-03,1.242654776634240905e-04
2.415000000000000036e+00,2.088244590401135050e-03,2.243342080542472597e-03,1.446640425521336063e-04
2.425000000000000266e+00,2.419980589806971887e-03,2.593667648610066285e-03,1.676291258401893470e-04
2.435000000000000053e+00,2.791432056822920008e-03,2.984843682694682948e-03,1.933413570849886712e-04
2.444999999999999840e+00,3.205047627297264411e-03,3.419202779166559923e-03,2.219698562856869440e-04
2.455000000000000071e+00,3.663040187661748773e-03,3.898805903003909040e-03,2.536674187046127657e-04
2.464999999999999858e+00,4.167312900368316635e-03,4.425367011605298682e-03,2.885654037708676109e-04
2.475000000000000089e+00,4.719382405367168916e-03,5.000175705668660590e-03,3.267684297913563260e-04
2.484999999999999876e+00,5.320300949910828844e-03,5.624019786287847399e-03,3.683489954079397811e-04
2.495000000000000107e+00,5.970579453688171397e-03,6.297109831545666912e-03,4.133421664515238162e-04
2.504999999999999893e+00,6.670113727825098884e-03,7.019008090774893870e-03,4.617404814500599211e-04
2.515000000000000124e+00,7.418116222541054801e-03,7.788564117185025129e-03,5.134892396832905787e-04
2.524999999999999911e+00,8.213055764971938580e-03,8.603859607829542067e-03,5.684823418106207515e-04
2.535000000000000142e+00,9.052607756699583910e-03,9.462164884340425880e-03,6.265588534080920652e-04
2.544999999999999929e+00,9.933617219709759555e-03,1.035990932148306461e-02,6.875004564431894116e-04
2.555000000000000160e+00,1.085207690639312071e-02,1.129266781012885391e-02,7.510299413980183044e-04
2.564999999999999947e+00,1.180312242049611285e-02,1.225516502679008420e-02,8.168108745196373238e-04
2.575000000000000178e+00,1.278104593549166459e-02,1.324129887833812476e-02,8.844485496078941618e-04
2.584999999999999964e+00,1.377932965042639318e-02,1.424418400664311142e-02,9.534923028722347904e-04
2.595000000000000195e+00,1.479069960275152668e-02,1.525621568660065139e-02,1.023439233662259583e-03
2.604999999999999982e+00,1.580719987698113449e-02,1.626915384967530034e-02,1.093739333632708739e-03
2.615000000000000213e+00,1.682028662783746631e-02,1.727422633362390644e-02,1.163801984066804070e-03
2.625000000000000000e+00,1.782094069593875840e-02,1.826224982049235238e-02,1.233003737109876052e-03
2.635000000000000231e+00,1.879979696010941961e-02,1.922376630372611347e-02,1.300697252602374529e-03
2.645000000000000018e+00,1.974728796438247891e-02,2.014919234620973776e-02,1.366221220542773208e-03
2.655000000000000249e+00,2.065379880840628735e-02,2.102897787871438676e-02,1.428911061336096515e-03
2.665000000000000036e+00,2.150982981706251254e-02,2.185377086515055689e-02,1.488110163263547383e-03
2.675000000000000266e+00,2.230616313402501369e-02,2.261458384707022359e-02,1.543181390938803488e-03
2.685000000000000053e+00,2.303402912882746359e-02,2.330295819014569642e-02,1.593518580950961097e-03
2.694999999999999840e+00,2.368526838392889453e-02,2.391112180167138945e-02,1.638557732705082925e-03
2.705000000000000071e+00,2.425248504456621601e-02,2.443213617558091452e-02,1.677787602714350462e-03
2.714999999999999858e+00,2.472918747253592675e-02,2.486002884944279664e-02,1.710759422696513272e-03
2.725000000000000089e+00,2.510991244201183845e-02,2.518990772101280598e-02,1.737095481196893228e-03
2.734999999999999876e+00,2.539032954321420940e-02,2.541805415772882895e-02,1.756496338830724948e-03
2.745000000000000107e+00,2.556732300180232162e-02,2.554199242396566066e-02,1.768746483965829945e-03
2.754999999999999893e+00,2.563904876017918805e-02,2.556053362685448485e-02,1.773718280201489481e-03
2.765000000000000124e+00,2.560496537791567134e-02,2.547379311661074688e-02,1.771374105793488375e-03
2.774999999999999911e+00,2.546583806486834439e-02,2.528318104428132693e-02,1.761766637522638526e-03
2.785000000000000142e+00,2.522371593531592959e-02,2.499136655031901008e-02,1.745037284782699439e-03
2.794999999999999929e+00,2.488188333499898389e-02,2.460221680307262890e-02,1.721412832750285902e-03
2.805000000000000160e+00,2.444478681847221321e-02,2.412071280029157508e-02,1.691200403093505965e-03
2.814999999999999947e+00,2.391794001475014766e-02,2.355284446476389390e-02,1.654780886832967965e-03
2.825000000000000178e+00,2.330780919347541502e-02,2.290548808684681262e-02,1.612601043129824330e-03
2.834999999999999964e+00,2.262168281215301210e-02,2.218626957562450444e-02,1.565164490747463248e-03
2.845000000000000195e+00,2.186752867472892270e-02,2.140341726532674418e-02,1.513021842317754419e-03
2.854999999999999982e+00,2.105384255245408565e-02,2.056560817932922419e-02,1.456760247636922122e-03
