x,scaled_C_q_0.20000000,scaled_C_q_0.60000000,scaled_C_q_0.90000000,scaled_C_q_0.98000000,scaled_C_q_0.99600799
1.175000000000000044e+00,5.650684496483115993e-01,5.694573300277244732e-01,5.721410017348212973e-01,5.727868505267420529e-01,5.729129670079005088e-01
1.200000000000000178e+00,5.850216126809658634e-01,5.898641484678378566e-01,5.928093039850150792e-01,5.935166484554108557e-01,5.936547157459641788e-01
1.225000000000000089e+00,6.051141935865197441e-01,6.104410693553057321e-01,6.136637357490020150e-01,6.144362259505167234e-01,6.145869489884375758e-01
1.250000000000000000e+00,6.253374176449825184e-01,6.311799727487490408e-01,6.346964161224453171e-01,6.355377532769261872e-01,6.357018468088506680e-01
1.275000000000000133e+00,6.456828944345772703e-01,6.520730411210142741e-01,6.558997298576372259e-01,6.568136588662960573e-01,6.569918460348129763e-01
1.300000000000000044e+00,6.661426179349105858e-01,6.731127564718368816e-01,6.772663246177693663e-01,6.782566266505580810e-01,6.784496375975955784e-01
1.325000000000000178e+00,6.867089650990680916e-01,6.942918965798251518e-01,6.987891076178487371e-01,6.998595928229639496e-01,7.000681633166754292e-01
1.350000000000000089e+00,7.073746929738579103e-01,7.156035304834333921e-01,7.204612417222988618e-01,7.216157420925787269e-01,7.218406121843534695e-01
1.375000000000000000e+00,7.281329344527540659e-01,7.370410132781556323e-01,7.422761410656001368e-01,7.435185034944046256e-01,7.437604162118675033e-01
1.400000000000000133e+00,7.489771927505781690e-01,7.585979803141527089e-01,7.642274662585113454e-01,7.655615458135682783e-01,7.658212458946714873e-01
1.425000000000000044e+00,7.699013346927632284e-01,7.802683408750775707e-01,7.863091192385318617e-01,7.877387726782186794e-01,7.880170053508037675e-01
1.450000000000000178e+00,7.908995829150048396e-01,8.020462714149978467e-01,8.085152378193531941e-01,8.100443173720220935e-01,8.103418271825233443e-01
1.475000000000000089e+00,8.119665070713844024e-01,8.239262084261677055e-01,8.308401899901698417e-01,8.324725374134331890e-01,8.327900671077336225e-01
1.500000000000000000e+00,8.330970141504923099e-01,8.459028410060063230e-01,8.532785680118829541e-01,8.550180089452915633e-01,8.553562984041075401e-01
1.525000000000000133e+00,8.542863379998562046e-01,8.679711031871010229e-01,8.758251823534928260e-01,8.776755209747785225e-01,8.780353062053688484e-01
1.550000000000000044e+00,8.755300281589847300e-01,8.901261660894089767e-01,8.984750555083473866e-01,9.004400695003689226e-01,9.008220816858203417e-01
1.575000000000000178e+00,8.968239381006904987e-01,9.123634299491689692e-01,9.212234157264039824e-01,9.233068515591644765e-01,9.237118161660060611e-01
1.600000000000000089e+00,9.181642129790260620e-01,9.346785160743696919e-01,9.440656906953313054e-01,9.462712592248849752e-01,9.466998951693319508e-01
1.625000000000000000e+00,9.395472769802074575e-01,9.570672587720502333e-01,9.669975012000667780e-01,9.693288735838534453e-01,9.697818924565785315e-01
1.650000000000000133e+00,9.609698203703733732e-01,9.795256972882256941e-01,9.900146547874317804e-01,9.924754587135306005e-01,9.929535640624859161e-01
1.675000000000000044e+00,9.824287863309462132e-01,1.002050067796913968e+00,1.013113139459559164e+00,1.015706955685537372e+00,1.016210842356034760e+00
1.700000000000000178e+00,1.003921357668755787e+00,1.024636795470569073e+00,1.036289117417204420e+00,1.039019476612653925e+00,1.039549830143630560e+00
1.725000000000000089e+00,1.025444943484075999e+00,1.047282486660293221e+00,1.059538918871515190e+00,1.062409298757005960e+00,1.062966794832153283e+00
1.750000000000000000e+00,1.046997165875284130e+00,1.069983921210437172e+00,1.082859035940516357e+00,1.085872858714522327e+00,1.086458162666750216e+00
1.775000000000000133e+00,1.068575846754024283e+00,1.092738044928707408e+00,1.106246116644396871e+00,1.109406746688782253e+00,1.110020513056321878e+00
1.800000000000000044e+00,1.090178994839732241e+00,1.115541962229614770e+00,1.129696959011713409e+00,1.133007700865568568e+00,1.133650572997859873e+00
1.825000000000000178e+00,1.111804792896988747e+00,1.138392928966089235e+00,1.153208505306785758e+00,1.156672601897756003e+00,1.157345211609176028e+00
1.850000000000000089e+00,1.133451585273657747e+00,1.161288345461267468e+00,1.176777836386881493e+00,1.180398467508673388e+00,1.181101434778045522e+00
1.875000000000000000e+00,1.155117865792112397e+00,1.184225749749958867e+00,1.200402166196279374e+00,1.204182447220643271e+00,1.204916379934429127e+00
1.900000000000000133e+00,1.176802266040072764e+00,1.207202811036954593e+00,1.224078836402885173e+00,1.228021817214175693e+00,1.228787310951189982e+00
1.925000000000000044e+00,1.198503544101791274e+00,1.230217323377280625e+00,1.247805311181837684e+00,1.251913975322115125e+00,1.252711613177591055e+00
1.950000000000000178e+00,1.220220573764547289e+00,1.253267199581632241e+00,1.271579172149400749e+00,1.275856436162023266e+00,1.276686788608852208e+00
1.975000000000000089e+00,1.241952334229650567e+00,1.276350465348585095e+00,1.295398113449422128e+00,1.299846826409135403e+00,1.300710451194100115e+00
2.000000000000000000e+00,1.263697900351569814e+00,1.299465253623706795e+00,1.319259936993730120e+00,1.323882880211401991e+00,1.324780322284262457e+00
2.024999999999999911e+00,1.285456433423287637e+00,1.322609799184435442e+00,1.343162547857029043e+00,1.347962434747374871e+00,1.348894226220686221e+00
2.050000000000000266e+00,1.307227172520673442e+00,1.345782433448491577e+00,1.367103949826147469e+00,1.372083425927041134e+00,1.373050086064632413e+00
2.075000000000000178e+00,1.329009426413606976e+00,1.368981579502648316e+00,1.391082241102846728e+00,1.396243884235123689e+00,1.397245919467216213e+00
2.100000000000000089e+00,1.350802566046719333e+00,1.392205747347869504e+00,1.415095610158862982e+00,1.420441930715848677e+00,1.421479834678849308e+00
2.125000000000000000e+00,1.372606017588061667e+00,1.415453529356193840e+00,1.439142331741370739e+00,1.444675773097733540e+00,1.445750026696811297e+00
2.149999999999999911e+00,1.394419256039755250e+00,1.438723595934163990e+00,1.463220763026637172e+00,1.468943702056570322e+00,1.470054773549177352e+00
2.175000000000000266e+00,1.416241799400732138e+00,1.462014691387176546e+00,1.487329339919295501e+00,1.493244087614431503e+00,1.494392432713010477e+00
2.200000000000000178e+00,1.438073203368059438e+00,1.485325629978780260e+00,1.511466573494361754e+00,1.517575375672235660e+00,1.518761437664433611e+00
2.225000000000000089e+00,1.459913056560113276e+00,1.508655292178686214e+00,1.535631046578865622e+00,1.541936084673197538e+00,1.543160294557974987e+00
2.250000000000000000e+00,1.481760976241956351e+00,1.532002621093082606e+00,1.559821410469775405e+00,1.566324802394254867e+00,1.567587579032349021e+00
2.274999999999999911e+00,1.503616604530752632e+00,1.555366619070692513e+00,1.584036381784721614e+00,1.590740182862417917e+00,1.592041933139719978e+00
2.300000000000000266e+00,1.525479605056904830e+00,1.578746344478006991e+00,1.608274739441899026e+00,1.615180943392860335e+00,1.616522062395310488e+00
2.325000000000000178e+00,1.547349660054792242e+00,1.602140908637044836e+00,1.632535321765438141e+00,1.639645861745453015e+00,1.641026732944160349e+00
2.350000000000000089e+00,1.569226467855567186e+00,1.625549472919082250e+00,1.656817023712454873e+00,1.664133773396388571e+00,1.665554768841742250e+00
2.375000000000000000e+00,1.591109740753391621e+00,1.648971245987798318e+00,1.681118794217962176e+00,1.688643568921471161e+00,1.690105049445084884e+00
2.400000000000000355e+00,1.612999203215743638e+00,1.672405481185441634e+00,1.705439633653804465e+00,1.713174191487631060e+00,1.714676506911044784e+00
2.425000000000000266e+00,1.634894590408036752e+00,1.695851474055684482e+00,1.729778591397749921e+00,1.737724634449217209e+00,1.739268123798325849e+00
2.450000000000000178e+00,1.656795647002675897e+00,1.719308559996999497e+00,1.754134763508942596e+00,1.762293939045589397e+00,1.763878930769865239e+00
2.475000000000000089e+00,1.678702126242892279e+00,1.742776112040551828e+00,1.778507290505896288e+00,1.786881192196597246e+00,1.788508004392215911e+00
2.500000000000000000e+00,1.700613789232136241e+00,1.766253538746755725e+00,1.802895355243294917e+00,1.811485524392537627e+00,1.813154465028575801e+00
2.525000000000000355e+00,1.722530404420573591e+00,1.789740282214839384e+00,1.827298180883894618e+00,1.836106107675204990e+00,1.837817474822171393e+00
2.550000000000000266e+00,1.744451747261112518e+00,1.813235816199918693e+00,1.851715028961904874e+00,1.860742153706748558e+00,1.862496235766723851e+00
2.575000000000000178e+00,1.766377600008620208e+00,1.836739644332325838e+00,1.876145197534290654e+00,1.885392911923058135e+00,1.887189987860799834e+00
2.600000000000000089e+00,1.788307751637228327e+00,1.860251298434064227e+00,1.900588019416509677e+00,1.910057667768493284e+00,1.911898007342914374e+00
2.625000000000000000e+00,1.810241997852189089e+00,1.883770336927526490e+00,1.925042860499302400e+00,1.934735741008830168e+00,1.936619605004292533e+00
2.650000000000000355e+00,1.832180141174284849e+00,1.907296343331753352e+00,1.949509118143223585e+00,1.959426484119374035e+00,1.961354124576300206e+00
2.675000000000000266e+00,1.854121991076564502e+00,1.930828924841735406e+00,1.973986219647698714e+00,1.984129280745265733e+00,1.986100941189611557e+00
2.700000000000000178e+00,1.876067364154907935e+00,1.954367710986451900e+00,1.998473620791490157e+00,2.008843544231086131e+00,2.010859459902260671e+00
2.725000000000000089e+00,1.898016084315826024e+00,1.977912352361512749e+00,2.022970804441556858e+00,2.033568716216952232e+00,2.035629114293801667e+00
2.750000000000000000e+00,1.919967982966706010e+00,2.001462519432473108e+00,2.047477279227351232e+00,2.058304265298368740e+00,2.060409365122891856e+00
2.775000000000000355e+00,1.941922899195646757e+00,2.025017901405062659e+00,2.071992578277765951e+00,2.083049685747199398e+00,2.085199699045689137e+00
2.800000000000000266e+00,1.963880679929845163e+00,2.048578205158751775e+00,2.096516258017958823e+00,2.107804496291191487e+00,2.109999627392527000e+00
2.825000000000000178e+00,1.985841180063351308e+00,2.072143154240237983e+00,2.121047897023433659e+00,2.132568238949589023e+00,2.134808685000439521e+00
2.850000000000000089e+00,2.007804262546770246e+00,2.095712487913609756e+00,2.145587094928846916e+00,2.157340477922425226e+00,2.159626429099152922e+00
2.875000000000000000e+00,2.029769798433195493e+00,2.119285960264120305e+00,2.170133471389071644e+00,2.182120798531212102e+00,2.184452438248287276e+00
2.900000000000000355e+00,2.051737666876269461e+00,2.142863339352611529e+00,2.194686665090174849e+00,2.206908806208782714e+00,2.209286311323550134e+00
2.925000000000000266e+00,2.073707755077822235e+00,2.166444406417828983e+00,2.219246332808049171e+00,2.231704125536152716e+00,2.234127666549807323e+00
2.950000000000000178e+00,2.095679958183901181e+00,2.190028955123977550e+00,2.243812148512508209e+00,2.256506399324330836e+00,2.258976140578992542e+00
2.975000000000000089e+00,2.117654179129358827e+00,2.213616790851013150e+00,2.268383802514774672e+00,2.281315287739103859e+00,2.283831387610881780e+00
3.000000000000000000e+00,2.139630328432287509e+00,2.237207730025299934e+00,2.292961000656361215e+00,2.306130467466875444e+00,2.308693078554855393e+00
3.025000000000000355e+00,2.161608323940672705e+00,2.260801599488380997e+00,2.317543463537392157e+00,2.330951630919734896e+00,2.333560900230818635e+00
3.050000000000000266e+00,2.183588090534496651e+00,2.284398235901724306e+00,2.342130925782564876e+00,2.355778485477984852e+00,2.358434554607538480e+00
3.075000000000000178e+00,2.205569559787390332e+00,2.307997485185451669e+00,2.366723135342970075e+00,2.380610752768452354e+00,2.383313758076720745e+00
3.100000000000000089e+00,2.227552669592420376e+00,2.331599201989102088e+00,2.391319852832079373e+00,2.405448167976945051e+00,2.408198240761227016e+00
3.125000000000000000e+00,2.249537363757255992e+00,2.355203249192657555e+00,2.415920850894299310e+00,2.430290479193309316e+00,2.433087745855877504e+00
3.150000000000000355e+00,2.271523591574248879e+00,2.378809497436119358e+00,2.440525913604536967e+00,2.455137446787603928e+00,2.457982028999365909e+00
3.175000000000000266e+00,2.293511307371203234e+00,2.402417824675985525e+00,2.465134835897300203e+00,2.479988842815943784e+00,2.482880857675870079e+00
3.200000000000000178e+00,2.315500470048792891e+00,2.426028115767155047e+00,2.489747423023944251e+00,2.504844450454671190e+00,2.507784010644995565e+00
3.225000000000000089e+00,2.337491042610559955e+00,2.449640262068773389e+00,2.514363490036678694e+00,2.529704063461530428e+00,2.532691277398764651e+00
3.250000000000000000e+00,2.359482991691349341e+00,2.473254161072679924e+00,2.538982861298075822e+00,2.554567485662595949e+00,2.557602457644388760e+00
3.275000000000000355e+00,2.381476287089841382e+00,2.496869716053160104e+00,2.563605370014865326e+00,2.579434530463763586e+00,2.582517360811651841e+00
3.300000000000000266e+00,2.403470901310611474e+00,2.520486835736794440e+00,2.588230857794784345e+00,2.604305020385655922e+00,2.607435805583745658e+00
3.325000000000000178e+00,2.425466809120732314e+00,2.544105433991242560e+00,2.612859174225445003e+00,2.629178786620844033e+00,2.632357619450484965e+00
3.350000000000000089e+00,2.447463987125587437e+00,2.567725429531895198e+00,2.637490176474074133e+00,2.654055668612341101e+00,2.657282638282853604e+00
3.375000000000000000e+00,2.469462413368068709e+00,2.591346745645370930e+00,2.662123728907172193e+00,2.678935513652378475e+00,2.682210705927888572e+00
3.400000000000000355e+00,2.491462066954801546e+00,2.614969309928870445e+00,2.686759702729075716e+00,2.703818176500495607e+00,2.707141673822941019e+00
3.425000000000000266e+00,2.513462927712538431e+00,2.638593054044509500e+00,2.711397975638521363e+00,2.728703519020032164e+00,2.732075400628424244e+00
3.450000000000000178e+00,2.535464975877252503e+00,2.662217913487752607e+00,2.736038431502330948e+00,2.753591409832170989e+00,2.757011751878164052e+00
3.475000000000000089e+00,2.557468191817896752e+00,2.685843827369137404e+00,2.760680960045362564e+00,2.778481723986673479e+00,2.781950599646526356e+00
3.500000000000000000e+00,2.579472555796260558e+00,2.709470738208535678e+00,2.785325456555948875e+00,2.803374342648536022e+00,2.806891822231537770e+00
3.525000000000000355e+00,2.601478047763646551e+00,2.733098591741217831e+00,2.809971821606039644e+00,2.828269152799802288e+00,2.831835303853236674e+00
3.550000000000000266e+00,2.623484647194711084e+00,2.756727336735067979e+00,2.834619960785344617e+00,2.853166046955809776e+00,2.856780934366538016e+00
3.575000000000000178e+00,2.645492332958077952e+00,2.780356924818256470e+00,2.859269784448764451e+00,2.878064922895179123e+00,2.881728608987918605e+00
3.600000000000000089e+00,2.667501083223016156e+00,2.803987310316830683e+00,2.883921207476472848e+00,2.902965683402896513e+00,2.906678228035278977e+00
3.625000000000000000e+00,2.689510875400822343e+00,2.827618450101613945e+00,2.908574149046013080e+00,2.927868236025859883e+00,2.931629696680329467e+00
3.650000000000000355e+00,2.711521686119244379e+00,2.851250303443869427e+00,2.933228532415813383e+00,2.952772492840284979e+00,2.956582924712941818e+00
3.675000000000000266e+00,2.733533491227828627e+00,2.874882831879264966e+00,2.957884284719550561e+00,2.977678370230417926e+00,2.981537826316873030e+00
3.700000000000000178e+00,2.755546265831784414e+00,2.898515999079617877e+00,2.982541336770851537e+00,3.002585788677990752e+00,3.006494319856299668e+00
3.725000000000000089e+00,2.777559984351594125e+00,2.922149770731992113e+00,3.007199622877764433e+00,3.027494672561923839e+00,3.031452327672698122e+00
3.750000000000000000e+00,2.799574620605481901e+00,2.945784114424725431e+00,3.031859080666577722e+00,3.052404949967768122e+00,3.056411775891527238e+00
3.775000000000000355e+00,2.821590147911567925e+00,2.969418999539981119e+00,3.056519650914467867e+00,3.077316552506421665e+00,3.081372594238275031e+00
3.800000000000000266e+00,2.843606539206481099e+00,2.993054397152445922e+00,3.081181277390563800e+00,3.102229415141674718e+00,3.106334715863392937e+00
3.825000000000000178e+00,2.865623767177114090e+00,3.016690279933825547e+00,3.105843906705005875e+00,3.127143476026155167e+00,3.131298077175717509e+00
3.850000000000000089e+00,2.887641804402198975e+00,3.040326622062801132e+00,3.130507488165589880e+00,3.152058676345278698e+00,3.156262617683968319e+00
3.875000000000000000e+00,2.909660623500377685e+00,3.063963399140134047e+00,3.155171973641630156e+00,3.176974960168786666e+00,3.181228279845904616e+00
3.900000000000000355e+00,2.931680197281627986e+00,3.087600588108617927e+00,3.179837317434660804e+00,3.201892274309544373e+00,3.206195008924822787e+00
3.925000000000000266e+00,2.953700498898853777e+00,3.111238167177607483e+00,3.204503476155668551e+00,3.226810568189222739e+00,3.231162752852987374e+00
3.950000000000000178e+00,2.975721501996849927e+00,3.134876115751840775e+00,3.229170408608482035e+00,3.251729793710538718e+00,3.256131462101707008e+00
3.975000000000000089e+00,2.997743180855820810e+00,3.158514414364343548e+00,3.253838075679053254e+00,3.276649905135719187e+00,3.281101089557701300e+00
4.000000000000000000e+00,3.019765510527032237e+00,3.182153044613127868e+00,3.278506440230311902e+00,3.301570858970921396e+00,3.306071590405483374e+00
