Q,B1,B2,B_even,B_odd,GST_even,GST_odd,mu_saddle,even_match_error,odd_match_error,decomposition_error,log_asymmetry,light_log_asymmetry
-0.14,0.1288194444444445,0.0072916666666666685,0.06805555555555556,0.06076388888888889,0.06805555555555554,0.060763888888888895,0.28768207245178096,2.7755575615628914e-17,6.938893903907228e-18,3.469446951953614e-17,11.410060675849017,11.507282898071239
-0.135,0.12115197929025993,0.004659691511163841,0.0629058354007119,0.058246143889548053,0.06290583540071193,0.058246143889548053,0.27686382265510007,2.7755575615628914e-17,0.0,2.0816681711721685e-17,10.981359075980725,11.074552906204003
-0.13,0.11377091377091378,0.0022308022308022424,0.05800085800085801,0.05577005577005577,0.05800085800085802,0.055770055770055775,0.2661084068736541,6.938893903907228e-18,6.938893903907228e-18,0.0,10.555104185714075,10.644336274946165
-0.125,0.10666666666666666,0.0,0.05333333333333334,0.05333333333333334,0.05333333333333332,0.05333333333333334,0.25541281188299536,1.3877787807814457e-17,0.0,1.3877787807814457e-17,10.131179141986483,10.216512475319814
-0.12,0.09983022071307299,-0.002037351443123933,0.04889643463497453,0.050933786078098474,0.048896434634974555,0.05093378607809848,0.2447741126593529,2.7755575615628914e-17,6.938893903907228e-18,1.3877787807814457e-17,9.709470448649158,9.790964506374117
-0.11499999999999999,0.0932530883750396,-0.003885545348959976,0.044683771513039795,0.048569316861999785,0.044683771513039795,0.048569316861999785,0.2341894667593668,0.0,0.0,1.3877787807814457e-17,9.289867763395472,9.367578670374673
-0.10999999999999999,0.0869272803699033,-0.005548549810844877,0.040689365279529204,0.0462379150903741,0.04068936527952918,0.04623791509037411,0.2236561090218324,2.0816681711721685e-17,6.938893903907228e-18,2.0816681711721685e-17,8.872263696728698,8.946244360873298
-0.10499999999999998,0.08084527670258393,-0.0070300240610942505,0.03690762632074484,0.0439376503818391,0.036907626320744846,0.0439376503818391,0.21317134656485975,6.938893903907228e-18,0.0,6.938893903907228e-18,8.45655362198345,8.526853862594391
-0.09999999999999998,0.07499999999999998,-0.008333333333333331,0.03333333333333332,0.04166666666666666,0.033333333333333305,0.04166666666666666,0.20273255405408214,1.3877787807814457e-17,0.0,6.938893903907228e-18,8.042635495496617,8.109302162163285
-0.09500000000000003,0.06938479095341843,-0.009461562402738877,0.029961614275339783,0.03942317667807865,0.02996161427533979,0.03942317667807865,0.19233716921954536,6.938893903907228e-18,0.0,6.938893903907228e-18,7.630409686096887,7.693486768781813
-0.09000000000000002,0.06399338569656884,-0.010417527904092602,0.02678792889623813,0.03720545680033073,0.02678792889623818,0.03720545680033073,0.18198268860070588,4.85722573273506e-17,0.0,1.3877787807814457e-17,7.219778813147709,7.279307544028239
-0.08500000000000002,0.05881989496447329,-0.011203789517042533,0.023808052723715386,0.03501184224075791,0.023808052723715358,0.035011842240757915,0.17166666350057913,2.7755575615628914e-17,6.938893903907228e-18,6.938893903907228e-18,6.8106475924379515,6.866666540023164
-0.08000000000000002,0.053858784893267654,-0.011822660098522175,0.02101806239737275,0.03284072249589492,0.02101806239737272,0.03284072249589492,0.16138669613152554,3.122502256758253e-17,0.0,1.3877787807814457e-17,6.402922689267592,6.4554678452610235
-0.07500000000000001,0.04910485933503838,-0.012276214833759597,0.01841432225063939,0.03069053708439898,0.018414322250639437,0.030690537084398985,0.15114043593646684,4.5102810375396984e-17,3.469446951953614e-18,6.938893903907228e-18,5.996512578123632,6.04561743745867
-0.07,0.044553243574051424,-0.012566299469604247,0.015993472052223585,0.028559771521827825,0.015993472052223547,0.028559771521827832,0.14092557607049389,3.8163916471489756e-17,6.938893903907228e-18,1.3877787807814457e-17,5.591327408384831,5.637023042819757
-0.065,0.04019936934187774,-0.012694537686908758,0.01375241582748449,0.026446953514393245,0.013752415827484477,0.026446953514393245,0.13073985002887842,1.214306433183765e-17,0.0,6.938893903907228e-18,5.1872788755321055,5.229594001155134
-0.06,0.03603896103896104,-0.01266233766233766,0.011688311688311687,0.024350649350649352,0.011688311688311704,0.024350649350649352,0.12058102840844404,1.734723475976807e-17,0.0,6.938893903907228e-18,4.784280097376726,4.8232411363377645
-0.05499999999999999,0.032068023079259024,-0.012470897864156283,0.009798562607551369,0.02226946047170766,0.009798562607551365,0.02226946047170766,0.11044691579009713,3.469446951953614e-18,0.0,1.0408340855860843e-17,4.382245494849152,4.417876631603884
-0.04999999999999999,0.028282828282828278,-0.012121212121212116,0.008080808080808077,0.020202020202020197,0.008080808080808044,0.020202020202020197,0.10033534773107555,3.2959746043559335e-17,0.0,3.469446951953614e-18,3.9810906769197922,4.013413909243025
-0.044999999999999984,0.02467990724871458,-0.011614073999395094,0.0065329166246597395,0.018146990624054837,0.006532916624659713,0.018146990624054837,0.0902441878561468,2.688821387764051e-17,0.0,3.469446951953614e-18,3.5807323292473816,3.609767514245869
-0.03999999999999998,0.021256038647342986,-0.010950080515297899,0.005152979066022539,0.016103059581320443,0.005152979066022568,0.016103059581320446,0.08017132503758966,2.862293735361732e-17,3.469446951953614e-18,3.469446951953614e-18,3.181088106173477,3.2068530015035894
